Parameter:,Time,UAV.LATLON#0,UAV.LATLON#1,GPS.ALTITUDE,UAV.HEADING,GPS.SATS_IN_USE
Mnemonic:,,,,,,
Units:,sec,deg,deg,m,deg,
Desc'n:,,,,,,
Index #:,--------------------,--------------------,--------------------,--------------------,--------------------,--------------------
4352,30993.6,54.838125,-4.9136925,123.2,305.3084,10
4353,30993.6,54.8381387,-4.9137331,123.2,303.9432,10
4354,30993.8,54.8381514,-4.9137739,122.9,302.3642,10
4355,30993.8,54.8381641,-4.9138157,122.9,300.6994,10
4356,34594,54.8381762,-4.9138572,122.7,299.0085,10
4357,34594,54.8381879,-4.9139001,122.7,297.1171,10
4358,30994.2,54.8381988,-4.9139425,122.4,295.3579,10
4359,30994.2,54.8382095,-4.9139862,122.4,293.7003,10
4360,30994.4,54.8382193,-4.9140298,122.1,291.9678,10
4361,30994.4,54.8382288,-4.9140744,122.1,290.3784,10
4362,30994.6,54.8382372,-4.9141188,121.8,288.9173,10
4363,30994.6,54.8382456,-4.9141641,121.8,287.1681,10
4364,30994.8,54.8382529,-4.9142093,121.4,285.3742,10
4365,30994.8,54.83826,-4.9142554,121.4,283.4988,10
4366,34595,54.8382662,-4.9143009,121.1,281.7115,10
4367,34595,54.8382719,-4.9143475,121.1,279.9654,10
4368,30995.2,54.8382765,-4.9143938,120.7,278.3139,10
4369,30995.2,54.838281,-4.9144407,120.7,276.6593,10
4370,30995.4,54.8382844,-4.9144873,120.5,275.0386,10
4371,30995.4,54.8382876,-4.9145344,120.5,273.5211,10
4372,30995.6,54.8382894,-4.9145811,120.2,271.8542,10
4373,30995.6,54.8382914,-4.9146283,120.2,270.0606,10
4374,30995.8,54.8382923,-4.9146751,119.8,268.2205,10
4375,30995.8,54.8382931,-4.9147222,119.8,266.5067,10
4376,34596,54.8382928,-4.9147685,119.6,264.6564,10
4377,34596,54.8382924,-4.9148156,119.6,262.8118,10
4378,30996.2,54.8382909,-4.9148618,119.3,261.0054,10
4379,30996.2,54.8382892,-4.9149085,119.3,259.2052,10
4380,30996.4,54.8382866,-4.9149544,119.1,257.5058,10
4381,30996.4,54.8382836,-4.9150006,119.1,255.9233,10
4382,30996.6,54.8382791,-4.9150458,119,254.5189,10
4383,30996.6,54.838275,-4.9150915,119,252.8688,10
4384,30996.8,54.8382697,-4.915136,118.9,250.9707,10
4385,30996.8,54.8382643,-4.915181,118.9,249.1199,10
4386,34597,54.8382582,-4.9152249,118.8,247.2525,10
4387,34597,54.8382516,-4.9152691,118.8,245.3285,10
4388,30997.2,54.8382438,-4.9153121,118.6,243.4442,10
4389,30997.2,54.8382358,-4.9153553,118.6,241.7343,10
4390,30997.4,54.8382269,-4.9153973,118.4,240.1319,10
4391,30997.4,54.8382177,-4.9154392,118.4,238.5228,10
4392,30997.6,54.8382074,-4.9154795,118.3,236.9873,10
4393,30997.6,54.8381971,-4.9155203,118.3,235.224,10
4394,30997.8,54.8381858,-4.9155594,118.2,233.4449,10
4395,30997.8,54.8381744,-4.9155991,118.2,231.5818,10
4396,34598,54.838162,-4.9156369,118.1,229.6425,10
4397,34598,54.8381498,-4.9156755,118.1,227.883,10
4398,30998.2,54.838137,-4.9157126,117.9,225.6463,10
4399,30998.2,54.8381238,-4.9157498,117.9,223.4312,10
4400,30998.4,54.8381101,-4.9157859,117.6,221.5218,10
4401,30998.4,54.8380957,-4.9158212,117.6,219.8028,10
4402,30998.6,54.8380807,-4.9158552,117.3,218.5095,10
4403,30998.6,54.8380656,-4.9158889,117.3,216.8085,10
4404,30998.8,54.8380494,-4.9159205,117.1,215.0351,10
4405,30998.8,54.8380335,-4.9159523,117.1,213.507,10
4406,34599,54.8380167,-4.9159823,116.8,211.8764,10
4407,34599,54.8380001,-4.9160126,116.8,209.9938,10
4408,30999.2,54.8379827,-4.9160409,116.5,208.0453,10
4409,30999.2,54.8379654,-4.9160693,116.5,206.1788,10
4410,30999.4,54.8379475,-4.916096,116.1,204.2799,10
4411,30999.4,54.8379296,-4.9161225,116.1,202.4792,10
4412,30999.6,54.8379111,-4.9161474,115.8,200.8606,10
4413,30999.6,54.8378926,-4.916172,115.8,199.3943,10
